File Path	chrom://990-75db15j/XVault/Ultimate_3000/1384/EC23_044 - 30.11.23.seq/831.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	XVault
Injection	PLA_25
Injection Number	54
Position	RE4
Comment	
Processing Method	Basic Quantitative
Instrument Method	Jens Method 35
Type	Unknown
Status	Finished
Injection Date	02.12.2023
Injection Time	03:05:15
Injection Volume (µl)	1.000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.004000
Time Max. (min)	35.004000
Data Points	8401
Detector	UV
Generating Data System	Chromeleon 7.2.5.9507
Exporting Data System	Chromeleon 7.2.5.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-113.267702
Signal Max.	15.523708
Channel	UV_VIS_1
Driver Name	VWD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.25
Max. Step (s)	0.25
Average Step (s)	0.25

Signal Parameter Information:
Signal Info	WVL:280 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
1.866500	0.25	-111.082048
1.870667	0.25	-111.174934
1.874833	0.25	-111.258052
1.879000	0.25	-111.349239
1.883167	0.25	-111.427253
1.887333	0.25	-111.500342
1.891500	0.25	-111.565806
1.895667	0.25	-111.637855
1.899833	0.25	-111.696947
1.904000	0.25	-111.747987
1.908167	0.25	-111.795214
1.912333	0.25	-111.852999
1.916500	0.25	-111.893962
1.920667	0.25	-111.940191
1.924833	0.25	-111.978258
1.929000	0.25	-112.020272
1.933167	0.25	-112.051105
1.937333	0.25	-112.089039
1.941500	0.25	-112.119248
1.945667	0.25	-112.139662
1.949833	0.25	-112.163141
1.954000	0.25	-112.183700
1.958167	0.25	-112.200516
1.962333	0.25	-112.229561
1.966500	0.25	-112.248230
1.970667	0.25	-112.260267
1.974833	0.25	-112.267051
1.979000	0.25	-112.281208
1.983167	0.25	-112.292299
1.987333	0.25	-112.298021
1.991500	0.25	-112.304390
1.995667	0.25	-112.313186
1.999833	0.25	-112.323847
2.004000	0.25	-112.338881
2.008167	0.25	-112.347787
2.012333	0.25	-112.351531
2.016500	0.25	-112.357290
2.020667	0.25	-112.370628
2.024833	0.25	-112.374647
2.029000	0.25	-112.374731
2.033167	0.25	-112.381684
2.037333	0.25	-112.399839
2.041500	0.25	-112.396457
2.045667	0.25	-112.403873
2.049833	0.25	-112.410621
2.054000	0.25	-112.411836
2.058167	0.25	-112.416610
2.062333	0.25	-112.418842
2.066500	0.25	-112.437555
