File Path	chrom://990-75db15j/XVault/Ultimate_3000/1384/EC23_044 - 30.11.23.seq/465.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	XVault
Injection	PLA_74
Injection Number	73
Position	RF12
Comment	
Processing Method	Basic Quantitative
Instrument Method	Jens Method 35
Type	Unknown
Status	Finished
Injection Date	02.12.2023
Injection Time	14:29:49
Injection Volume (µl)	1.000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.004000
Time Max. (min)	35.004000
Data Points	8401
Detector	UV
Generating Data System	Chromeleon 7.2.5.9507
Exporting Data System	Chromeleon 7.2.5.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-111.987030
Signal Max.	-11.722266
Channel	UV_VIS_1
Driver Name	VWD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.25
Max. Step (s)	0.25
Average Step (s)	0.25

Signal Parameter Information:
Signal Info	WVL:280 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
2.145667	0.25	-111.049271
2.149833	0.25	-111.048429
2.154000	0.25	-111.053321
2.158167	0.25	-111.055122
2.162333	0.25	-111.040417
2.166500	0.25	-111.045915
2.170667	0.25	-111.054027
2.174833	0.25	-111.054865
2.179000	0.25	-111.069656
2.183167	0.25	-111.071229
2.187333	0.25	-111.078614
2.191500	0.25	-111.079463
2.195667	0.25	-111.082976
2.199833	0.25	-111.074008
2.204000	0.25	-111.081918
2.208167	0.25	-111.094952
2.212333	0.25	-111.096875
2.216500	0.25	-111.097899
2.220667	0.25	-111.107160
2.224833	0.25	-111.112382
2.229000	0.25	-111.107435
2.233167	0.25	-111.100263
2.237333	0.25	-111.101779
2.241500	0.25	-111.117516
2.245667	0.25	-111.102508
2.249833	0.25	-111.107270
2.254000	0.25	-111.105635
2.258167	0.25	-111.108206
2.262333	0.25	-111.109060
2.266500	0.25	-111.102712
2.270667	0.25	-111.106676
2.274833	0.25	-111.106525
2.279000	0.25	-111.110025
2.283167	0.25	-111.110262
2.287333	0.25	-111.099845
2.291500	0.25	-111.108381
2.295667	0.25	-111.099294
2.299833	0.25	-111.093144
2.304000	0.25	-111.094770
2.308167	0.25	-111.095959
2.312333	0.25	-111.100356
2.316500	0.25	-111.096493
2.320667	0.25	-111.085753
2.324833	0.25	-111.079894
2.329000	0.25	-111.088756
2.333167	0.25	-111.090609
2.337333	0.25	-111.087474
2.341500	0.25	-111.086393
2.345667	0.25	-111.080447
2.349833	0.25	-111.086802
2.354000	0.25	-111.083694
2.358167	0.25	-111.079848
2.362333	0.25	-111.084475
2.366500	0.25	-111.063074
2.370667	0.25	-111.074156
2.374833	0.25	-111.064277
2.379000	0.25	-111.044348
2.383167	0.25	-111.031291
2.387333	0.25	-111.020915
2.391500	0.25	-111.005755
2.395667	0.25	-110.969099
2.399833	0.25	-110.931988
2.404000	0.25	-110.896539
2.408167	0.25	-110.847501
2.412333	0.25	-110.798125
2.416500	0.25	-110.735898
2.420667	0.25	-110.684732
2.424833	0.25	-110.621941
2.429000	0.25	-110.571479
2.433167	0.25	-110.516607
2.437333	0.25	-110.465787
2.441500	0.25	-110.424612
2.445667	0.25	-110.391397
2.449833	0.25	-110.365181
2.454000	0.25	-110.368745
2.458167	0.25	-110.357919
2.462333	0.25	-110.371935
2.466500	0.25	-110.395058
2.470667	0.25	-110.425136
2.474833	0.25	-110.452962
2.479000	0.25	-110.498974
2.483167	0.25	-110.535449
2.487333	0.25	-110.586529
2.491500	0.25	-110.635642
2.495667	0.25	-110.671883
2.499833	0.25	-110.717839
2.504000	0.25	-110.747855
2.508167	0.25	-110.786372
2.512333	0.25	-110.814260
2.516500	0.25	-110.841680
2.520667	0.25	-110.864300
2.524833	0.25	-110.886522
2.529000	0.25	-110.905435
2.533167	0.25	-110.910942
2.537333	0.25	-110.918220
2.541500	0.25	-110.931988
2.545667	0.25	-110.937186
2.549833	0.25	-110.929957
2.554000	0.25	-110.931759
