File Path	chrom://990-75db15j/XVault/Ultimate_3000/1384/EC23_044 - 30.11.23.seq/845.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	XVault
Injection	PLA_45
Injection Number	39
Position	RD1
Comment	
Processing Method	Basic Quantitative
Instrument Method	Jens Method 35
Type	Unknown
Status	Finished
Injection Date	01.12.2023
Injection Time	18:04:49
Injection Volume (µl)	1.000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.004000
Time Max. (min)	35.004000
Data Points	8401
Detector	UV
Generating Data System	Chromeleon 7.2.5.9507
Exporting Data System	Chromeleon 7.2.5.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-115.475875
Signal Max.	-6.279632
Channel	UV_VIS_1
Driver Name	VWD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.25
Max. Step (s)	0.25
Average Step (s)	0.25

Signal Parameter Information:
Signal Info	WVL:280 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
1.120667	0.25	-113.270538
1.124833	0.25	-113.392824
1.129000	0.25	-113.488425
1.133167	0.25	-113.584499
1.137333	0.25	-113.650019
1.141500	0.25	-113.705455
1.145667	0.25	-113.734529
1.149833	0.25	-113.768002
1.154000	0.25	-113.784928
1.158167	0.25	-113.803527
1.162333	0.25	-113.804282
1.166500	0.25	-113.802744
1.170667	0.25	-113.815923
1.174833	0.25	-113.831178
1.179000	0.25	-113.849399
1.183167	0.25	-113.871388
1.187333	0.25	-113.888870
1.191500	0.25	-113.931850
1.195667	0.25	-113.957816
1.199833	0.25	-113.992872
1.204000	0.25	-114.016938
1.208167	0.25	-114.032311
1.212333	0.25	-114.051159
1.216500	0.25	-114.056400
1.220667	0.25	-114.057466
1.224833	0.25	-114.055934
1.229000	0.25	-114.042586
1.233167	0.25	-114.038897
1.237333	0.25	-114.024901
1.241500	0.25	-114.007206
1.245667	0.25	-113.991119
1.249833	0.25	-113.971518
1.254000	0.25	-113.942233
1.258167	0.25	-113.901590
1.262333	0.25	-113.829907
1.266500	0.25	-113.704150
1.270667	0.25	-113.538614
1.274833	0.25	-113.325078
1.279000	0.25	-113.077766
1.283167	0.25	-112.781280
1.287333	0.25	-112.484523
1.291500	0.25	-112.214944
1.295667	0.25	-111.963645
1.299833	0.25	-111.774377
1.304000	0.25	-111.640044
1.308167	0.25	-111.579166
1.312333	0.25	-111.580307
1.316500	0.25	-111.634149
1.320667	0.25	-111.712604
1.324833	0.25	-111.854893
1.329000	0.25	-112.012464
1.333167	0.25	-112.197004
1.337333	0.25	-112.392123
1.341500	0.25	-112.590292
1.345667	0.25	-112.783895
1.349833	0.25	-112.974812
1.354000	0.25	-113.152466
1.358167	0.25	-113.309920
1.362333	0.25	-113.462991
1.366500	0.25	-113.591325
1.370667	0.25	-113.699305
1.374833	0.25	-113.784892
1.379000	0.25	-113.860523
1.383167	0.25	-113.921807
1.387333	0.25	-113.957741
1.391500	0.25	-113.989801
1.395667	0.25	-114.012136
1.399833	0.25	-114.031922
1.404000	0.25	-114.041270
1.408167	0.25	-114.053480
1.412333	0.25	-114.078069
1.416500	0.25	-114.090592
1.420667	0.25	-114.118721
1.424833	0.25	-114.122948
1.429000	0.25	-114.145262
1.433167	0.25	-114.164992
1.437333	0.25	-114.190003
1.441500	0.25	-114.204681
1.445667	0.25	-114.217102
1.449833	0.25	-114.234447
1.454000	0.25	-114.248217
1.458167	0.25	-114.251051
1.462333	0.25	-114.261803
1.466500	0.25	-114.273060
1.470667	0.25	-114.280871
1.474833	0.25	-114.283601
1.479000	0.25	-114.297012
1.483167	0.25	-114.290255
1.487333	0.25	-114.315331
1.491500	0.25	-114.321030
1.495667	0.25	-114.333089
1.499833	0.25	-114.334688
1.504000	0.25	-114.357592
1.508167	0.25	-114.357424
1.512333	0.25	-114.364868
1.516500	0.25	-114.359812
1.520667	0.25	-114.354375
1.524833	0.25	-114.357590
1.529000	0.25	-114.369183
1.533167	0.25	-114.360673
1.537333	0.25	-114.362833
1.541500	0.25	-114.361393
1.545667	0.25	-114.352134
1.549833	0.25	-114.347715
1.554000	0.25	-114.346863
1.558167	0.25	-114.349721
1.562333	0.25	-114.346535
1.566500	0.25	-114.352086
1.570667	0.25	-114.348668
1.574833	0.25	-114.354424
1.579000	0.25	-114.361685
1.583167	0.25	-114.362078
1.587333	0.25	-114.374725
1.591500	0.25	-114.369770
1.595667	0.25	-114.373758
1.599833	0.25	-114.371268
1.604000	0.25	-114.362030
1.608167	0.25	-114.357779
1.612333	0.25	-114.336833
1.616500	0.25	-114.293642
1.620667	0.25	-114.216030
1.624833	0.25	-114.071805
1.629000	0.25	-113.813181
1.633167	0.25	-113.332208
1.637333	0.25	-112.505504
1.641500	0.25	-111.083205
1.645667	0.25	-108.824658
1.649833	0.25	-105.424570
1.654000	0.25	-100.611004
1.658167	0.25	-94.230921
1.662333	0.25	-86.227620
1.666500	0.25	-76.760829
1.670667	0.25	-66.167882
1.674833	0.25	-54.978121
1.679000	0.25	-43.766694
1.683167	0.25	-33.209110
1.687333	0.25	-23.889476
1.691500	0.25	-16.292661
1.695667	0.25	-10.745466
1.699833	0.25	-7.397061
1.704000	0.25	-6.279632
1.708167	0.25	-7.263170
1.712333	0.25	-10.090607
1.716500	0.25	-14.470345
1.720667	0.25	-20.080533
1.724833	0.25	-26.534746
1.729000	0.25	-33.543979
1.733167	0.25	-40.806316
1.737333	0.25	-48.072279
1.741500	0.25	-55.152936
1.745667	0.25	-61.887987
1.749833	0.25	-68.177450
1.754000	0.25	-73.971092
1.758167	0.25	-79.210979
1.762333	0.25	-83.920719
1.766500	0.25	-88.088181
1.770667	0.25	-91.757404
1.774833	0.25	-94.971264
1.779000	0.25	-97.755784
1.783167	0.25	-100.166223
1.787333	0.25	-102.242973
1.791500	0.25	-104.012492
1.795667	0.25	-105.525864
1.799833	0.25	-106.812847
1.804000	0.25	-107.896388
1.808167	0.25	-108.817085
1.812333	0.25	-109.582163
1.816500	0.25	-110.240074
1.820667	0.25	-110.774450
1.824833	0.25	-111.230371
