File Path	chrom://990-75db15j/XVault/Ultimate_3000/1384/EC23_044 - 30.11.23.seq/976.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	XVault
Injection	PLA_60
Injection Number	59
Position	RE10
Comment	
Processing Method	Basic Quantitative
Instrument Method	Jens Method 35
Type	Unknown
Status	Finished
Injection Date	02.12.2023
Injection Time	06:05:17
Injection Volume (µl)	1.000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.004000
Time Max. (min)	35.004000
Data Points	8401
Detector	UV
Generating Data System	Chromeleon 7.2.5.9507
Exporting Data System	Chromeleon 7.2.5.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-112.861663
Signal Max.	16.489558
Channel	UV_VIS_1
Driver Name	VWD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.25
Max. Step (s)	0.25
Average Step (s)	0.25

Signal Parameter Information:
Signal Info	WVL:280 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
1.366500	0.25	-111.119378
1.370667	0.25	-111.225410
1.374833	0.25	-111.327494
1.379000	0.25	-111.398420
1.383167	0.25	-111.453133
1.387333	0.25	-111.501151
1.391500	0.25	-111.524372
1.395667	0.25	-111.546906
1.399833	0.25	-111.570995
1.404000	0.25	-111.579423
1.408167	0.25	-111.583215
1.412333	0.25	-111.605163
1.416500	0.25	-111.616081
1.420667	0.25	-111.626786
1.424833	0.25	-111.638442
1.429000	0.25	-111.661390
1.433167	0.25	-111.684760
1.437333	0.25	-111.707505
1.441500	0.25	-111.726532
1.445667	0.25	-111.741486
1.449833	0.25	-111.759664
1.454000	0.25	-111.772148
1.458167	0.25	-111.778256
1.462333	0.25	-111.781458
1.466500	0.25	-111.797624
1.470667	0.25	-111.804961
1.474833	0.25	-111.811144
1.479000	0.25	-111.814896
1.483167	0.25	-111.836056
1.487333	0.25	-111.848290
1.491500	0.25	-111.865599
1.495667	0.25	-111.875458
1.499833	0.25	-111.876696
1.504000	0.25	-111.884683
1.508167	0.25	-111.901867
1.512333	0.25	-111.909285
1.516500	0.25	-111.916876
1.520667	0.25	-111.921179
1.524833	0.25	-111.913084
1.529000	0.25	-111.923123
1.533167	0.25	-111.915534
1.537333	0.25	-111.909687
1.541500	0.25	-111.917430
1.545667	0.25	-111.914974
1.549833	0.25	-111.907865
1.554000	0.25	-111.902744
1.558167	0.25	-111.897177
1.562333	0.25	-111.902527
1.566500	0.25	-111.898448
1.570667	0.25	-111.903820
1.574833	0.25	-111.911089
1.579000	0.25	-111.910126
1.583167	0.25	-111.928651
